Frage,Schwierigkeit,richtige_antwort,option 2,option 3,option 4
Was ist das meist gestreamtes Lied auf YouTube?,20,Despacito,Shape of you,See you again,Uptown Funk
Wie oft würde Baby Shark auf YouTube gestreamt?(23. November 22),100,11.73 Mrd.,11.54 Mrd.,11.65 Mrd.,11.82 Mrd.
Was ist das meist gestreamtes Lied Spotify?,30,Shape of you,Blinding lights,Dance Monkey,Rockstar
Wann würde Spotify gegründet?,30,2006,2004,2007,2009
Wer ist der meist gestreamter Künstler?,40,Drake,The Weekend,Ed Sheeran,Bad Bunny
Wer ist der meist gestreamter Künstlerin?,40, Taylor Swift, Ariana Grande, Billie Eilish, Dua Lipa
Wie viele Lieder von Ed Sheeran haben mehr als 1 Mrd. Streams?,50, 11, 10, 12, 9
Was ist das meist gestreamtes deutsches Lied in Deutschland?,20, Roller, Ohne mein Team, 500 PS, Vermissen
Wann würde Senorita von Shawn Mendes und Camila Cabello veröffentlich?,60, 21.06.2019, 30.07.2019, 24.06.2020, 19.07.2020
Seit wann werden die Musikpreise „Grammy Awards“ verliehen?,60, 1959, 1969, 1949, 1979
Die meisten Grammys hat Dirigent Sir Georg Solti gekriegt. Wie viele waren es?,80, 31, 28, 30, 32
Wer hat die meisten Grammys an einer Veranstaltung gekriegt?,40, Michael Jackson, Adele, Billie Eilish, Eric Clapton
Wie viele Sinfonien schrieb Ludwig van Beethoven?,50, 9, 8, 7, 6
Wie geht das Lied „Dancing Queen“ von ABBA weiter: „You are the dancing queen…“,20, Young and sweet only seventeen, Smart and chick only seventeen, Nice and sweet only seventeen, Young and sweet only nineteen
Aus welchem Land kommt Shakira?,40, Kolumbien, Spanien, Portugal, Brasilien
Wo wurde das Musikvideo zum Wham!-Song: „Last Christmas“ gedreht?,50, Schweiz, Österreich, Kanada, USA
In welchem Land ist Madonna geboren?,30, USA, Canada, Mexico, Schweiz
Wie lautet der Song von Whitney Houston richtig: „I will always…“?,10, Love you, Like you, Hate you, Need you
Was war die Debütsingel von Justin Biber?,50, One Time, Baby, One less lonely girl, Love me
