Frage,Schwierigkeit,richtige_antwort,option 2,option 3,option 4
Welche Känguru art lebt auf Bäumen?,100,Dendrolagus Matschiei,Keine Art,Macropus fuliginosus,Macropus antelopinus
Welches Tier hält Winterschlaf?,30,Fledermaus,Affe,Zebra,Hase
Welches Tier ist das größte der Landtiere?,10,Elefant,Giraffe,Nashorn,Nilpferd
Womit riechen Schlangen?,35,mit der Zunge,mit der Haut,mit der Nase,mit den Augen
Wie viele Flügel hat ein Schmetterling?,25,4,6,8,10
Welches Tier gehört zu den Säugetieren?,40,Eichhörnchen,Krokodil,Hai,Spatz
Welcher Bär frisst am liebsten Bambus?,5,Panda,Eisbär,Braunbär,Schwarzbär
Wie viele Beine hat eine Spinne?,5,8,6,7,10
Wenn sich ein Wissenschaftler mit Ornithologie beschäftigt<K> befasst er sich mit...?,90,Vögel,Fische,Schlangen,Bienen
Wie nennt man den Nachwuchs von Rehen?,50,Kitz,Ferkel,Kalb,Welpe
Was befinden sich im Höcker auf dem Rücken des Kamels?,75,Fett,Wasser,Luft,Nahrung
Wer außer dem Känguru ist noch ein Beuteltier und trägt den Nachwuchs im Beutel der Mutter?,80,Koala,Igel,Dachs,Panda
Koala<K> Känguru und Strauß leben in ...,20,in Australien,in Deutschland,in Nordamerika,in Afrika
Fähigkeit einer Tierart<K> ihr Aussehen einer anderen Tierart anzupassen<K> sodass sie von Fressfeinden nicht erkannt oder gemieden wird<K> heißt...,95,Mimikry,Dioptrie,Zoologie,Lethargie
In welcher Fischegruppe werden die Männchen schwanger?,40,Seepferdchen,Tintenfisch,Delfin,Thunfisch
Die Blindschleiche ist ...,50,eine beinlose Eidechse,eine blinde Schlange,eine giftige Schlange,eine Krokodilart
Wovon ernährt sich der Koala?,30,Eukalyptus,Bambus,Früchte,Insekten und kleine Vögel
Welches Tier hört die höchsten Frequenzen?,45,Fledermaus,Wal,Delfin,Tiger
Welcher Tier springt am höchsten im vergleich der Körpergröße?,55,Floh,Heuschrecke,Grasshüpfer,Frosch
Wo werden gefährdete Tierarten erfasst?,53,auf einem grünen Zettel,auf einer roten Liste,in einem schwarzen Buch,in einer blauen Tabelle
Wie nennt man die Kreuzung aus einem männlichen Löwen und einem weiblichen Tiger?,53,Tigon,Liger,Es gibt keine Kreuzung aus Löwe und Tiger,Töwe
Welcher Papageienvogel hat eine hoch aufragende Federhaube?,53,Rotkopfpapagei,Kakadu,Gelbbrustara,Königssittich
Was für Tiere sind Meerkatzen?,53,Fische,Vögel,Hunde,Affen
Wie heißt das größte Tier aus der Familie der Katzen?,53,Tiger,Jaguar,Löwe,Leopard
Woraus wird der Farbstoff Sepia gewonnen?,53,Aus dem Kot von Bären,Aus der Galle von Elefanten,Aus dem Urin von Walen,Aus dem Tintenbeutel von Tintenfischen
Auf welchem Kontinent leben Dingos?,53,Afrika,Antarktis,Australien,Asien
