Frage,Schwierigkeit,richtige_antwort,option 2,option 3,option 4
Wer ist der mc in the Legend of Zelda,5,Link,Zelda,Ganon,Pikachu
In welcher Programmiersprache wurde Minecraft geschrieben,1,Java,RUST,C++,LOLCODE
Was sind Point-to-Click abilities,10,mit ability auf ein Ziel Klicken, abilitys für die du aimen musst,,
Wann ist Minecraft erschienen,10,18. November 2011,25. November 2012,9. Juli 2011,24. Dezember 2010
Was bedeutet das Wort Atari,80,Erfolg, Kommunikation, Spaß, 187
Welche Währung hat Fallout,28,Kronkorken, Bananen, Elixier ,Geld
Warum sind die Ballons in Bloons tower defence die Bösen,50,Sie wollen das Land der Affen, Sie können fliegen , Sie hab den Affengott getötet ,Sie haben ein Gerät um Affen in Ballons zu Verwandeln
Wie heißt die Form, die in Pokemon Schwert und Schild hinzugefügt wurde, in der Pokemon zu Riesen-Pokemon werden,90,Dynamax-Pokemon ,Mega-Pokemon ,Gorilla-Pokemon ,Omni-Pokemon
Welche Truppe im supercell Universum reitet auf einem Schwein,15,Hog rider, Babar, Barkeeper, among us
Welcher Charakter war der meist gehasste In Overwatch 1, 80, Widowmaker, Genji, Sombra, Mei
In Valorant gibt es 4 Rollen Duelist, initiatior, Sentinel und …, 90, Controller, Smoker, Tamer, Tank
Wie heißt die AK aus Valorant, 10, Vandal, phantom, ghost, Odin
Wie heißt der höchste Rang in Valorant, 50, Radiant, Global, Top 500, Champions
Wer gewann 2022 IEM COLOGNE, 90, FaZe, Navi, G2, Wave
Auf wie vielen Platfromen wurde Super Mario bros raus gebracht, 70, 13, 8, 10, 5
Nach wem wurde Mario benannt, 90, Nach dem Vermieter der US-Nintendo-Zentrale, Nach einem Verwandten von Shigeru Miyamoto, Shigeru Miyamoto Spitzname war Mario, Nach einem Italienischen Freund
Von welchem entwickler ist lol, 5, Riot, Epicgames, Steam, Activision
